iter	Passed	Remaining
0	442	442366
1	445	222234
2	454	150980
3	457	113830
4	460	91685
5	464	76870
6	466	66242
7	469	58228
8	472	52001
9	474	47024
10	522	47022
11	527	43390
12	534	40589
13	536	37808
14	538	35363
15	540	33231
16	542	31346
17	543	29663
18	546	28234
19	548	26890
20	550	25661
21	552	24542
22	553	23521
23	555	22583
24	560	21865
25	562	21065
26	563	20322
27	565	19633
28	567	18991
29	568	18391
30	570	17831
31	576	17425
32	577	16930
33	579	16461
34	580	16017
35	582	15599
36	584	15203
37	587	14869
38	589	14532
39	592	14211
40	594	13908
41	603	13773
42	606	13507
43	610	13260
44	614	13041
45	617	12798
46	618	12546
47	620	12303
48	624	12119
49	626	11896
50	628	11691
51	630	11497
52	633	11310
53	634	11118
54	637	10954
55	639	10775
56	640	10601
57	642	10432
58	643	10269
59	645	10111
60	646	9958
61	648	9811
62	650	9668
63	652	9538
64	653	9404
65	655	9274
66	656	9147
67	657	9013
68	659	8893
69	660	8777
70	662	8664
71	663	8554
72	665	8453
73	667	8349
74	668	8248
75	670	8149
76	671	8053
77	673	7959
78	674	7868
79	676	7779
80	677	7691
81	682	7636
82	683	7554
83	685	7473
84	686	7388
85	687	7311
86	688	7229
87	690	7156
88	692	7088
89	694	7018
90	696	6959
91	698	6891
92	699	6826
93	701	6762
94	703	6698
95	704	6636
96	706	6578
97	708	6518
98	709	6459
99	711	6403
100	713	6347
101	713	6285
102	715	6230
103	716	6177
104	718	6124
105	720	6072
106	721	6021
107	723	5971
108	724	5923
109	726	5875
110	728	5837
111	730	5791
112	731	5745
113	733	5700
114	734	5656
115	736	5609
116	737	5567
117	739	5525
118	740	5481
119	743	5452
120	745	5412
121	746	5373
122	747	5328
123	748	5290
124	750	5252
125	751	5215
126	753	5179
127	754	5139
128	757	5116
129	759	5085
130	762	5055
131	764	5024
132	766	4994
133	768	4964
134	771	4944
135	773	4915
136	775	4887
137	777	4855
138	779	4827
139	781	4800
140	783	4773
141	786	4749
142	788	4723
143	790	4697
144	792	4672
145	794	4646
146	796	4621
147	798	4596
148	801	4576
149	803	4551
150	805	4528
151	807	4504
152	809	4480
153	811	4457
154	813	4434
155	815	4412
156	817	4390
157	819	4368
158	821	4346
159	823	4324
160	825	4303
161	828	4284
162	830	4263
163	832	4243
164	834	4223
165	836	4202
166	838	4182
167	840	4162
168	844	4152
169	846	4134
170	848	4115
171	850	4096
172	853	4077
173	855	4060
174	857	4042
175	859	4024
176	861	4006
177	863	3988
178	865	3970
179	867	3953
180	868	3930
181	870	3913
182	872	3896
183	874	3879
184	876	3862
185	878	3846
186	880	3829
187	884	3818
188	886	3802
189	888	3786
190	890	3772
191	892	3757
192	894	3742
193	897	3726
194	899	3713
195	901	3698
196	903	3681
197	904	3664
198	906	3648
199	907	3631
200	909	3615
201	911	3602
202	913	3586
203	914	3570
204	916	3554
205	917	3538
206	919	3522
207	921	3507
208	922	3491
209	924	3477
210	925	3462
211	927	3447
212	928	3432
213	930	3417
214	931	3402
215	933	3388
216	935	3374
217	936	3359
218	938	3347
219	940	3333
220	941	3319
221	943	3305
222	944	3292
223	946	3278
224	947	3265
225	949	3251
226	951	3238
227	952	3225
228	954	3212
229	955	3199
230	957	3186
231	958	3173
232	960	3161
233	961	3148
234	963	3136
235	964	3123
236	967	3115
237	970	3106
238	972	3096
239	975	3087
240	977	3079
241	981	3074
242	984	3068
243	986	3057
244	988	3047
245	991	3037
246	993	3027
247	995	3018
248	997	3008
249	999	2998
250	1001	2989
251	1003	2979
252	1005	2969
253	1007	2959
254	1026	2999
255	1028	2989
256	1030	2979
257	1032	2970
258	1034	2960
259	1036	2950
260	1039	2941
261	1041	2932
262	1043	2922
263	1045	2913
264	1047	2904
265	1049	2895
266	1051	2885
267	1054	2879
268	1056	2870
269	1058	2861
270	1060	2852
271	1062	2843
272	1064	2834
273	1066	2825
274	1076	2837
275	1078	2828
276	1080	2819
277	1082	2812
278	1085	2804
279	1087	2796
280	1089	2787
281	1091	2779
282	1093	2770
283	1095	2762
284	1098	2755
285	1100	2747
286	1102	2739
287	1104	2730
288	1106	2722
289	1108	2714
290	1112	2711
291	1115	2703
292	1117	2695
