iter	Passed	Remaining
0	868	867851
1	872	435149
2	874	290511
3	877	218503
4	879	174979
5	884	146491
6	885	125638
7	887	109988
8	889	97990
9	892	88375
10	894	80416
11	895	73765
12	897	68128
13	898	63291
14	899	59098
15	901	55433
16	902	52196
17	903	49316
18	905	46740
19	907	44477
20	909	42417
21	911	40535
22	917	38958
23	918	37356
24	919	35876
25	924	34629
26	925	33361
27	927	32184
28	928	31085
29	929	30060
30	931	29101
31	932	28201
32	933	27358
33	934	26562
34	937	25838
35	938	25131
36	939	24461
37	941	23825
38	942	23222
39	943	22649
40	945	22104
41	950	21679
42	951	21184
43	953	20710
44	954	20256
45	955	19822
46	957	19406
47	958	19008
48	959	18626
49	962	18287
50	964	17944
51	967	17646
52	969	17328
53	971	17013
54	972	16710
55	973	16418
56	975	16135
57	976	15862
58	978	15598
59	979	15346
60	980	15099
61	982	14859
62	983	14628
63	984	14403
64	988	14214
65	990	14021
66	992	13818
67	993	13619
68	994	13424
69	996	13235
70	997	13052
71	998	12874
72	1000	12700
73	1005	12581
74	1006	12416
75	1008	12256
76	1009	12100
77	1010	11947
78	1012	11798
79	1013	11653
80	1014	11513
81	1019	11412
82	1020	11271
83	1021	11140
84	1022	11011
85	1024	10885
86	1025	10763
87	1026	10643
88	1028	10525
89	1031	10433
90	1034	10336
91	1036	10226
92	1038	10123
93	1039	10018
94	1040	9914
95	1042	9812
96	1043	9712
97	1046	9630
98	1049	9548
99	1051	9459
100	1055	9394
101	1057	9310
102	1059	9223
103	1062	9156
104	1064	9072
105	1065	8987
106	1066	8904
107	1068	8825
108	1069	8745
109	1071	8667
110	1072	8589
111	1073	8514
112	1077	8454
113	1079	8390
114	1081	8323
115	1082	8252
116	1083	8180
117	1085	8111
118	1087	8047
119	1088	7980
120	1089	7915
121	1091	7857
122	1093	7794
123	1094	7732
124	1096	7673
125	1097	7613
126	1098	7551
127	1099	7493
128	1101	7436
129	1107	7411
130	1109	7358
131	1111	7311
132	1113	7256
133	1114	7202
134	1115	7149
135	1117	7096
136	1124	7085
137	1126	7039
138	1129	6994
139	1130	6944
140	1132	6900
141	1146	6928
142	1148	6885
143	1153	6855
144	1157	6823
145	1159	6780
146	1161	6737
147	1163	6695
148	1170	6683
149	1172	6645
150	1174	6603
151	1175	6559
152	1177	6516
153	1178	6473
154	1182	6446
155	1184	6409
156	1186	6368
157	1187	6327
158	1189	6290
159	1190	6250
160	1191	6208
161	1192	6169
162	1193	6130
163	1202	6127
164	1208	6116
165	1210	6079
166	1213	6054
167	1215	6021
168	1220	6002
169	1222	5967
170	1223	5931
171	1224	5896
172	1229	5878
173	1231	5844
174	1232	5810
175	1233	5776
176	1235	5745
177	1237	5714
178	1238	5681
179	1240	5649
180	1243	5628
181	1245	5597
182	1246	5566
183	1248	5535
184	1249	5504
185	1250	5473
186	1252	5443
187	1253	5413
188	1254	5384
189	1258	5366
190	1260	5340
191	1263	5318
192	1265	5293
193	1267	5264
194	1268	5236
195	1270	5211
196	1275	5197
197	1276	5169
198	1277	5142
199	1278	5115
200	1280	5089
201	1281	5063
202	1282	5036
203	1284	5011
204	1292	5013
205	1294	4990
206	1297	4971
207	1305	4970
208	1309	4954
209	1311	4933
210	1313	4911
211	1320	4909
212	1322	4887
213	1325	4867
214	1328	4851
215	1333	4838
216	1336	4822
217	1340	4806
218	1342	4786
219	1433	5083
220	1436	5063
221	1438	5042
222	1441	5023
223	1443	5000
224	1447	4984
225	1452	4973
226	1454	4952
227	1456	4930
228	1475	4966
229	1479	4953
230	1482	4935
231	1483	4912
232	1485	4889
233	1487	4868
234	1488	4846
235	1490	4825
236	1497	4820
237	1499	4799
238	1500	4777
239	1501	4756
240	1503	4734
241	1505	4716
242	1511	4708
243	1512	4687
244	1515	4670
245	1517	4649
246	1518	4628
247	1519	4607
248	1520	4587
249	1524	4574
250	1528	4561
251	1530	4542
252	1548	4571
253	1552	4558
254	1558	4552
255	1560	4535
256	1562	4516
257	1563	4496
258	1565	4477
259	1566	4458
260	1568	4439
261	1574	4434
262	1575	4416
263	1577	4397
264	1579	4380
265	1580	4361
266	1582	4343
267	1586	4332
268	1589	4318
269	1590	4300
270	1592	4282
271	1593	4265
272	1595	4247
273	1597	4233
274	1602	4224
275	1604	4209
276	1608	4197
277	1609	4180
278	1610	4163
279	1612	4145
280	1613	4128
281	1618	4121
282	1619	4104
283	1621	4087
284	1622	4070
285	1624	4055
286	1625	4039
287	1627	4022
288	1628	4006
289	1634	4001
290	1635	3985
291	1637	3969
292	1638	3953
293	1639	3937
294	1641	3922
295	1642	3906
296	1646	3897
297	1648	3884
298	1652	3873
299	1654	3860
300	1655	3845
301	1657	3830
302	1658	3815
303	1661	3803
304	1662	3788
305	1664	3774
306	1666	3762
307	1668	3747
308	1669	3733
309	1670	3718
310	1675	3712
311	1677	3698
312	1678	3684
313	1680	3670
314	1681	3656
315	1682	3642
316	1684	3628
317	1685	3614
318	1689	3605
319	1691	3594
320	1695	3585
321	1696	3572
322	1697	3558
323	1699	3545
324	1700	3532
325	1703	3521
326	1704	3508
327	1706	3495
328	1707	3482
329	1711	3474
330	1712	3461
331	1746	3513
332	1752	3510
333	1754	3497
334	1755	3484
335	1757	3472
336	1758	3459
337	1759	3446
338	1761	3434
339	1768	3432
340	1769	3419
341	1770	3406
342	1772	3394
343	1773	3381
344	1775	3370
345	1776	3357
346	1781	3352
347	1782	3340
348	1784	3329
349	1786	3316
350	1787	3304
351	1788	3292
352	1789	3280
353	1791	3268
354	1796	3264
355	1798	3252
356	1799	3241
357	1800	3229
358	1802	3218
359	1803	3206
360	1805	3195
361	1806	3184
362	1812	3180
363	1813	3169
364	1815	3157
365	1816	3146
366	1817	3135
367	1819	3123
368	1820	3113
369	1822	3102
370	1826	3095
371	1827	3085
372	1833	3082
373	1835	3071
374	1836	3060
375	1840	3054
376	1842	3045
377	1845	3036
378	1849	3029
379	1850	3019
380	1851	3008
381	1856	3003
382	1857	2993
383	1859	2982
384	1860	2972
385	1861	2961
386	1863	2951
387	1865	2941
388	1866	2931
389	1870	2925
390	1872	2916
391	1873	2905
392	1875	2896
393	1876	2885
394	1877	2875
395	1878	2865
396	1880	2855
397	1883	2849
398	1886	2841
399	1888	2832
400	1889	2822
401	1891	2813
402	1892	2803
403	1894	2794
404	1895	2784
405	1899	2779
406	1901	2770
407	1902	2760
408	1904	2751
409	1905	2741
410	1906	2732
411	1908	2723
412	1909	2714
413	1911	2705
414	1913	2697
415	1915	2689
416	1916	2680
417	1918	2670
418	1919	2661
419	1920	2652
420	1926	2650
421	1928	2641
422	1930	2632
423	1931	2624
424	1933	2615
425	1934	2606
426	1935	2597
427	1939	2592
428	1942	2585
429	1945	2579
430	1948	2571
431	1949	2563
432	1950	2554
433	1955	2550
434	1957	2542
435	1959	2534
436	1960	2526
437	1962	2517
438	1963	2509
439	1964	2500
440	1968	2495
441	1970	2488
442	1972	2479
443	1973	2471
444	1975	2463
445	1976	2455
446	1977	2446
447	1979	2438
448	1983	2434
449	1986	2427
450	1987	2419
451	1988	2411
452	1990	2403
453	1991	2394
454	1993	2387
455	1994	2379
456	1997	2373
457	2000	2367
458	2002	2360
459	2003	2352
460	2005	2344
461	2006	2336
462	2007	2328
463	2009	2320
464	2013	2316
465	2014	2308
466	2016	2300
467	2017	2293
468	2019	2286
469	2020	2278
470	2021	2270
471	2023	2263
472	2029	2261
473	2031	2254
474	2032	2246
475	2033	2238
476	2035	2232
477	2037	2224
478	2038	2217
479	2043	2214
480	2046	2208
481	2050	2203
482	2053	2198
483	2059	2195
484	2060	2188
485	2062	2180
486	2064	2174
487	2065	2167
488	2066	2159
489	2068	2152
490	2069	2145
491	2074	2142
492	2076	2135
493	2078	2128
494	2079	2121
495	2080	2114
496	2082	2107
497	2083	2100
498	2085	2093
499	2088	2088
500	2089	2081
501	2091	2074
502	2092	2067
503	2093	2060
504	2095	2053
505	2096	2046
506	2097	2039
507	2102	2036
508	2103	2029
509	2105	2022
510	2107	2016
511	2108	2009
512	2109	2002
513	2111	1996
514	2112	1989
515	2118	1986
516	2119	1980
517	2121	1973
518	2122	1967
519	2124	1961
520	2125	1954
521	2127	1947
522	2131	1944
523	2133	1938
524	2138	1934
525	2139	1928
526	2141	1921
527	2142	1915
528	2145	1910
529	2146	1903
530	2147	1897
531	2149	1891
532	2151	1884
533	2152	1878
534	2153	1871
535	2155	1865
536	2160	1862
537	2162	1856
538	2163	1850
539	2165	1844
540	2166	1838
541	2168	1832
542	2169	1825
543	2172	1821
544	2174	1815
545	2176	1809
546	2177	1803
547	2179	1797
548	2180	1791
549	2182	1785
550	2183	1779
551	2187	1775
552	2191	1771
553	2193	1765
554	2195	1760
555	2197	1754
556	2198	1748
557	2205	1747
558	2207	1741
559	2208	1735
560	2209	1729
561	2212	1724
562	2213	1718
563	2218	1714
564	2220	1709
565	2223	1705
566	2226	1699
567	2227	1694
568	2229	1688
569	2234	1685
570	2237	1680
571	2239	1675
572	2240	1669
573	2242	1664
574	2243	1658
575	2244	1652
576	2247	1647
577	2249	1642
578	2255	1639
579	2256	1634
580	2257	1628
581	2261	1624
582	2263	1618
583	2264	1613
584	2265	1607
585	2267	1601
586	2268	1596
587	2269	1590
588	2271	1584
589	2272	1579
590	2274	1574
591	2275	1568
592	2277	1563
593	2279	1557
594	2280	1552
595	2281	1546
596	2282	1541
597	2284	1535
598	2289	1532
599	2290	1527
600	2292	1521
601	2293	1516
602	2294	1510
603	2296	1505
604	2298	1500
605	2299	1495
606	2306	1493
607	2308	1488
608	2310	1483
609	2311	1477
610	2312	1472
611	2314	1467
612	2326	1468
613	2328	1463
614	2330	1458
615	2336	1456
616	2337	1451
617	2339	1446
618	2340	1440
619	2342	1435
620	2344	1430
621	2345	1425
622	2350	1422
623	2352	1417
624	2353	1412
625	2354	1406
626	2356	1401
627	2357	1396
628	2358	1391
629	2360	1386
630	2365	1383
631	2367	1378
632	2369	1373
633	2370	1368
634	2372	1363
635	2373	1358
636	2374	1353
637	2376	1348
638	2381	1345
639	2382	1340
640	2383	1335
641	2385	1330
642	2387	1325
643	2388	1320
644	2390	1315
645	2391	1310
646	2395	1306
647	2396	1301
648	2398	1297
649	2400	1292
650	2403	1288
651	2406	1284
652	2409	1280
653	2411	1275
654	2415	1272
655	2417	1267
656	2419	1263
657	2422	1259
658	2424	1254
659	2425	1249
660	2427	1245
661	2428	1240
662	2430	1235
663	2434	1231
664	2438	1228
665	2440	1223
666	2453	1225
667	2456	1220
668	2458	1216
669	2462	1212
670	2465	1208
671	2466	1203
672	2468	1199
673	2469	1194
674	2471	1189
675	2472	1184
676	2477	1181
677	2479	1177
678	2482	1173
679	2502	1177
680	2510	1175
681	2512	1171
682	2515	1167
683	2517	1163
684	2616	1203
685	2622	1200
686	2625	1196
687	2628	1192
688	2631	1187
689	2638	1185
690	2641	1181
691	2644	1177
692	2647	1172
693	2653	1170
694	2671	1172
695	2674	1168
696	2679	1164
697	2685	1161
698	2687	1157
699	2694	1154
700	2711	1156
701	2720	1154
702	2722	1150
703	2724	1145
704	2726	1140
705	2732	1138
706	2735	1133
707	2737	1129
708	2741	1125
709	2747	1122
710	2749	1117
711	2751	1112
712	2753	1108
713	2755	1103
714	2756	1098
715	2763	1096
716	2766	1092
717	2768	1087
718	2770	1082
719	2771	1077
720	2777	1074
721	2780	1070
722	2782	1066
723	2784	1061
724	2785	1056
725	2787	1051
726	2789	1047
727	2791	1042
728	2792	1038
729	2794	1033
730	2796	1028
731	2797	1024
732	2798	1019
733	2804	1016
734	2805	1011
735	2806	1006
736	2808	1002
737	2809	997
738	2811	992
739	2812	988
740	2813	983
741	2818	979
742	2819	975
743	2822	971
744	2823	966
745	2824	961
746	2826	957
747	2827	952
748	2832	949
749	2833	944
750	2835	940
751	2836	935
752	2837	930
753	2839	926
754	2840	921
755	2842	917
756	2843	912
757	2848	909
758	2853	905
759	2854	901
760	2856	897
761	2857	892
762	2862	889
763	2867	885
764	2869	881
765	2871	877
766	2886	876
767	2888	872
768	2891	868
769	2894	864
